longitude,latitude,point_id,distance_to_building_m,distance_to_park_m,distance_to_library_m,distance_to_parking_m,distance_to_footway_m,distance_to_grass_m,distance_to_fitness_centre_m,distance_to_wood_m,distance_to_wetland_m
-84.39313801,33.77222075,731,10.62817497,125.0908217,264.5054696,116.9871059,71.51326721,86.40607046,289.3070588,884.1435835,1060.890401
-84.39258492,33.77265984,732,8.892128256,193.1285833,269.8118519,112.3282161,47.78050022,65.80303701,304.2247492,873.0418625,1039.676557
-84.39204549,33.77264844,733,4.122834547,236.8789074,312.8707379,76.03813529,2.210183935,16.22470018,285.680991,892.2674236,1065.106533
-84.39311071,33.77312174,734,0,190.5876478,201.1327944,70.98262292,63.30427312,127.7427333,371.8668587,808.8980641,971.7597861
-84.39203183,33.77309893,735,8.357594726,262.5825312,292.63241,107.6763744,3.175325176,52.17663392,333.7766046,846.8731906,1022.920449
-84.39001076,33.76854835,736,73.82201818,539.2789305,763.8953413,87.57260129,117.3073462,117.2685641,171.924006,1376.358982,1554.452115
-84.38947136,33.76853694,737,123.7860061,578.4762155,796.0061279,137.3989339,160.9550918,161.3228144,199.7915246,1405.830378,1579.508138
-84.39055017,33.76855976,738,24.00844503,502.0047786,733.7890905,37.66061436,81.33563408,80.49088024,155.5605168,1341.493604,1530.619742
-84.39108958,33.76857118,739,0,467.1143657,705.9438831,0,66.857739,64.71149221,152.3198961,1307.610848,1508.069035
-84.39107592,33.76902167,740,4.158822807,431.3163567,664.1553996,1.719274309,17.13437537,14.73490891,102.3359261,1270.810205,1463.279376
-84.38945769,33.76898743,741,128.8354083,549.975182,759.19127,134.5862437,147.4115706,148.4719619,164.6983381,1361.033466,1536.801964
-84.38785313,33.76850267,742,273.7568814,704.3249486,902.1611526,286.2093495,303.8801176,304.7038782,317.7939925,1477.557523,1661.435113
-84.38731372,33.76849125,743,323.7531699,748.2557052,940.2044504,336.0479628,352.8294971,353.7196456,362.4249041,1503.477996,1690.793008
-84.38623491,33.76846839,744,423.7483745,838.1602081,1019.393808,435.8289454,451.4196609,452.397896,455.0487776,1556.792233,1752.315529
-84.38677432,33.76847982,745,373.7504515,792.9057746,979.3232723,385.9283287,402.0375382,402.9773219,408.3020947,1529.602389,1721.102947
-84.38730004,33.76894174,746,328.1445488,726.4465357,909.2469617,334.5155384,346.8606111,348.0466358,344.3264445,1460.744384,1650.944965
-84.38676063,33.76893031,747,377.5607631,772.3584248,949.6418801,384.509353,396.8095408,398.0070289,392.3257445,1487.512266,1681.973138
-84.38783945,33.76895317,748,278.735491,681.1105653,869.8507769,284.5238977,296.9288727,298.0995243,296.9880653,1434.800416,1620.865484
-84.38893195,33.76852552,749,173.7707117,619.2315391,829.8887991,186.7910828,207.4899267,208.0821586,235.1073005,1428.390042,1605.730531
-84.38839254,33.7685141,750,223.7622515,661.2568836,865.3352426,236.4388931,255.3382028,256.0689732,275.0167853,1452.321305,1633.06311
-84.38891827,33.76897601,751,178.7834806,592.69357,794.6452338,184.5542037,197.1692147,198.2852939,206.1172774,1384.323357,1563.740662
-84.38837886,33.76896459,752,228.7542424,636.4735934,831.5952807,234.5358208,247.0247505,248.1737135,250.6853037,1409.003272,1591.788477
-84.38782577,33.76940366,753,280.2060645,660.8703134,839.2770716,289.3584796,298.0615195,299.1131823,283.5679816,1392.04453,1580.836234
-84.3889046,33.7694265,754,180.2491771,569.3185724,761.0562899,191.759551,198.0617479,199.2369827,186.2611643,1340.673041,1522.234929
