"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Bad Battery (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
335,02/25/19,03:40:00,66.515,52.251,49.039,,,,,
336,02/25/19,03:50:00,66.643,51.327,48.690,,,,,
337,02/25/19,04:00:00,66.558,50.978,48.432,,,,,
338,02/25/19,04:10:00,66.344,50.930,48.209,,,,,
339,02/25/19,04:20:00,66.130,50.883,47.988,,,,,
340,02/25/19,04:30:00,66.000,51.060,47.959,,,,,
341,02/25/19,04:40:00,66.301,52.142,48.785,,,,,
342,02/25/19,04:50:00,66.600,51.231,48.601,,,,,
343,02/25/19,05:00:00,66.600,50.606,48.279,,,,,
344,02/25/19,05:10:00,66.472,50.471,48.092,,,,,
345,02/25/19,05:20:00,66.258,50.424,47.869,,,,,
346,02/25/19,05:30:00,66.000,50.342,47.590,,,,,
347,02/25/19,05:40:00,66.087,51.347,48.186,,,,,
348,02/25/19,05:50:00,66.472,51.127,48.429,,,,,
349,02/25/19,06:00:00,66.515,50.318,48.051,,,,,
350,02/25/19,06:10:00,66.385,50.058,47.797,,,,,
351,02/25/19,06:20:00,66.173,50.011,47.575,,,,,
352,02/25/19,06:30:00,65.916,49.961,47.313,,,,,
353,02/25/19,06:40:00,65.916,50.711,47.701,,,,,
354,02/25/19,06:50:00,66.301,50.740,48.072,,,,,
355,02/25/19,07:00:00,66.344,49.961,47.707,,,,,
356,02/25/19,07:10:00,66.214,49.639,47.419,,,,,
357,02/25/19,07:20:00,66.000,49.623,47.214,,,,,
358,02/25/19,07:30:00,65.745,49.353,46.836,,,,,
359,02/25/19,07:40:00,65.701,50.039,47.156,,,,,
360,02/25/19,07:50:00,65.916,49.992,47.329,,,,,
361,02/25/19,08:00:00,65.916,49.397,47.016,,,,,
362,02/25/19,08:10:00,65.745,49.165,46.735,,,,,
363,02/25/19,08:20:00,65.487,48.990,46.405,,,,,
364,02/25/19,08:30:00,65.403,49.297,46.490,,,,,
365,02/25/19,08:40:00,65.658,49.723,46.951,,,,,
366,02/25/19,08:50:00,65.788,49.012,46.693,,,,,
367,02/25/19,09:00:00,65.658,48.688,46.402,,,,,
368,02/25/19,09:10:00,65.487,48.550,46.171,,,,,
369,02/25/19,09:20:00,65.359,48.573,46.065,,,,,
370,02/25/19,09:30:00,65.615,49.438,46.762,,,,,
371,02/25/19,09:40:00,65.872,48.704,46.607,,,,,
372,02/25/19,09:50:00,65.916,48.235,46.395,,,,,
373,02/25/19,10:00:00,65.829,48.135,46.261,,,,,
374,02/25/19,10:10:00,65.745,48.160,46.197,,,,,
375,02/25/19,10:20:00,65.615,48.183,46.090,,,,,
376,02/25/19,10:30:00,65.487,48.079,45.918,,,,,
377,02/25/19,10:40:00,65.574,48.400,46.170,,,,,
378,02/25/19,10:50:00,66.130,49.068,47.039,,,,,
379,02/25/19,11:00:00,66.515,48.373,47.019,,,,,
380,02/25/19,11:10:00,66.558,47.872,46.787,,,,,
381,02/25/19,11:20:00,66.472,47.708,46.618,,,,,
382,02/25/19,11:30:00,66.344,47.636,46.461,,,,,
383,02/25/19,11:40:00,66.173,47.624,46.297,,,,,
384,02/25/19,11:50:00,66.043,47.615,46.175,,,,,
385,02/25/19,12:00:00,65.872,47.603,46.011,,,,,
386,02/25/19,12:10:00,65.745,47.657,45.923,,,,,
387,02/25/19,12:20:00,65.701,47.717,45.916,,,,,
388,02/25/19,12:30:00,65.658,47.777,45.910,,,,,
389,02/25/19,12:40:00,65.615,47.773,45.869,,,,,
390,02/25/19,12:50:00,65.530,47.673,45.736,,,,,
391,02/25/19,13:00:00,65.487,47.638,45.678,,,,,
392,02/25/19,13:10:00,65.403,47.569,45.561,,,,,
393,02/25/19,13:20:00,66.814,51.839,49.109,,,,,
