"Plot Title:  10635577"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_T)","RH, % (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_RH)","DewPt, °F (LGR S/N: 10635577, SEN S/N: 10635577)","Bad Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Detached (LGR S/N: 10635577, SEN S/N: 10635577)","Good Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Attached (LGR S/N: 10635577, SEN S/N: 10635577)","Stopped (LGR S/N: 10635577, SEN S/N: 10635577)","End Of File (LGR S/N: 10635577, SEN S/N: 10635577)"
355,02/28/19,07:00:00,56.772,96.143,55.094,,,,,,
356,02/28/19,07:10:00,56.685,96.181,55.017,,,,,,
357,02/28/19,07:20:00,56.772,96.245,55.119,,,,,,
358,02/28/19,07:30:00,57.117,96.347,55.490,,,,,,
359,02/28/19,07:40:00,57.333,96.482,55.740,,,,,,
360,02/28/19,07:50:00,57.376,96.641,55.823,,,,,,
361,02/28/19,08:00:00,57.333,96.992,55.866,,,,,,
362,02/28/19,08:10:00,57.247,96.903,55.756,,,,,,
363,02/28/19,08:20:00,57.290,96.935,55.809,,,,,,
364,02/28/19,08:30:00,57.376,96.999,55.911,,,,,,
365,02/28/19,08:40:00,57.506,97.018,56.044,,,,,,
366,02/28/19,08:50:00,57.592,97.133,56.160,,,,,,
367,02/28/19,09:00:00,57.506,97.120,56.070,,,,,,
368,02/28/19,09:10:00,57.679,97.172,56.255,,,,,,
369,02/28/19,09:20:00,57.807,97.216,56.397,,,,,,
370,02/28/19,09:30:00,57.679,97.248,56.275,,,,,,
371,02/28/19,09:40:00,57.807,97.242,56.403,,,,,,
372,02/28/19,09:50:00,57.592,97.235,56.185,,,,,,
373,02/28/19,10:00:00,57.506,97.248,56.102,,,,,,
374,02/28/19,10:10:00,57.679,97.299,56.287,,,,,,
375,02/28/19,10:20:00,57.636,97.242,56.230,,,,,,
376,02/28/19,10:30:00,57.549,97.178,56.127,,,,,,
377,02/28/19,10:40:00,57.592,97.235,56.185,,,,,,
378,02/28/19,10:50:00,57.722,97.153,56.295,,,,,,
379,02/28/19,11:00:00,57.936,97.083,56.493,,,,,,
380,02/28/19,11:10:00,57.765,96.955,56.289,,,,,,
381,02/28/19,11:20:00,57.722,96.948,56.244,,,,,,
382,02/28/19,11:30:00,57.893,96.821,56.385,,,,,,
383,02/28/19,11:40:00,58.368,96.789,56.853,,,,,,
384,02/28/19,11:50:00,58.626,96.674,57.083,,,,,,
385,02/28/19,12:00:00,58.928,96.436,57.324,,,,,,
386,02/28/19,12:10:00,58.626,96.340,56.998,,,,,,
387,02/28/19,12:20:00,59.229,96.403,57.618,,,,,,
388,02/28/19,12:30:00,59.229,96.403,57.618,,,,,,
389,02/28/19,12:40:00,59.099,96.513,57.517,,,,,,
390,02/28/19,12:50:00,59.056,96.378,57.439,,,,,,
391,02/28/19,13:00:00,60.217,96.189,58.554,,,,,,
392,02/28/19,13:10:00,59.745,95.810,57.985,,,,,,
393,02/28/19,13:20:00,60.174,95.511,58.339,,,,,,
394,02/28/19,13:30:00,60.260,94.382,58.136,,,,,,
