"Plot Title:  10884513"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884513, SEN S/N: 10884513)","RH, % (LGR S/N: 10884513, SEN S/N: 10884513)","DewPt, °F (LGR S/N: 10884513, SEN S/N: 10884513)","Coupler Detached (LGR S/N: 10884513, SEN S/N: 10884513)","Coupler Attached (LGR S/N: 10884513, SEN S/N: 10884513)","End Of File (LGR S/N: 10884513, SEN S/N: 10884513)"
316,05/04/17,11:35:00,60.775,96.038,59.074,,,
317,05/04/17,11:40:00,61.032,96.076,59.342,,,
318,05/04/17,11:45:00,61.205,96.024,59.500,,,
319,05/04/17,11:50:00,61.248,95.849,59.499,,,
320,05/04/17,11:55:00,61.376,95.816,59.617,,,
321,05/04/17,12:00:00,61.761,95.639,59.959,,,
322,05/04/17,12:05:00,62.019,95.624,60.213,,,
323,05/04/17,12:10:00,62.148,95.695,60.359,,,
324,05/04/17,12:15:00,62.490,95.771,60.721,,,
325,05/04/17,12:20:00,62.748,95.730,60.967,,,
326,05/04/17,12:25:00,63.176,95.689,61.385,,,
327,05/04/17,12:30:00,63.561,95.380,61.691,,,
328,05/04/17,12:35:00,64.033,94.348,61.891,,,
329,05/04/17,12:40:00,63.946,93.994,61.713,,,
330,05/04/17,12:45:00,64.204,93.899,61.943,,,
331,05/04/17,12:50:00,64.503,93.520,62.141,,,
332,05/04/17,12:55:00,64.632,93.221,62.190,,,
333,05/04/17,13:00:00,64.546,93.077,62.065,,,
334,05/04/17,13:05:00,64.503,93.203,62.056,,,
335,05/04/17,13:10:00,64.375,93.396,61.981,,,
336,05/04/17,13:15:00,64.418,93.376,62.019,,,
337,05/04/17,13:20:00,64.247,93.800,61.961,,,
338,05/04/17,13:25:00,64.459,93.567,62.112,,,
339,05/04/17,13:30:00,64.632,93.221,62.190,,,
340,05/04/17,13:35:00,64.632,93.142,62.168,,,
341,05/04/17,13:40:00,64.459,93.303,62.040,,,
342,05/04/17,13:45:00,64.332,93.707,62.020,,,
343,05/04/17,13:50:00,64.375,93.950,62.128,,,
344,05/04/17,13:55:00,64.288,94.253,62.123,,,
345,05/04/17,14:00:00,64.117,94.544,62.029,,,
346,05/04/17,14:05:00,63.946,94.782,61.920,,,
347,05/04/17,14:10:00,63.903,95.011,61.938,,,
348,05/04/17,14:15:00,64.074,95.140,62.143,,,
349,05/04/17,14:20:00,64.161,95.257,62.258,,,
350,05/04/17,14:25:00,64.247,95.322,62.361,,,
351,05/04/17,14:30:00,64.247,95.400,62.380,,,
352,05/04/17,14:35:00,64.288,95.433,62.433,,,
353,05/04/17,14:40:00,64.204,95.447,62.350,,,
354,05/04/17,14:45:00,64.332,95.544,62.505,,,
355,05/04/17,14:50:00,64.288,95.642,62.487,,,
356,05/04/17,14:55:00,64.375,95.654,62.575,,,
357,05/04/17,15:00:00,64.375,95.759,62.602,,,
358,05/04/17,15:05:00,64.375,95.837,62.623,,,
359,05/04/17,15:10:00,64.375,95.915,62.643,,,
360,05/04/17,15:15:00,64.546,95.992,62.834,,,
361,05/04/17,15:20:00,64.717,96.017,63.012,,,
362,05/04/17,15:25:00,64.931,96.075,63.241,,,
363,05/04/17,15:30:00,64.974,96.107,63.293,,,
364,05/04/17,15:35:00,64.974,96.107,63.293,,,
365,05/04/17,15:40:00,64.974,96.055,63.279,,,
366,05/04/17,15:45:00,65.102,96.021,63.399,,,
367,05/04/17,15:50:00,65.145,95.923,63.415,,,
368,05/04/17,15:55:00,65.145,95.845,63.396,,,
369,05/04/17,16:00:00,65.059,95.806,63.300,,,
370,05/04/17,16:05:00,65.017,95.852,63.270,,,
371,05/04/17,16:10:00,64.974,95.872,63.232,,,
372,05/04/17,16:15:00,64.974,95.924,63.244,,,
373,05/04/17,16:20:00,65.102,95.969,63.385,,,
374,05/04/17,16:25:00,65.273,96.046,63.576,,,
375,05/04/17,16:30:00,65.403,95.960,63.682,,,
376,05/04/17,16:35:00,65.444,95.914,63.712,,,
377,05/04/17,16:40:00,65.487,95.920,63.757,,,
378,05/04/17,16:45:00,65.788,95.859,64.042,,,
379,05/04/17,16:50:00,66.000,95.733,64.222,,,
380,05/04/17,16:55:00,66.130,95.542,64.301,,,
381,05/04/17,17:00:00,66.214,95.371,64.341,,,
382,05/04/17,17:05:00,66.258,95.324,64.371,,,
383,05/04/17,17:10:00,66.258,95.245,64.351,,,
384,05/04/17,17:15:00,66.173,95.180,64.249,,,
385,05/04/17,17:20:00,66.214,95.029,64.251,,,
386,05/04/17,17:25:00,66.258,94.877,64.254,,,
387,05/04/17,17:30:00,66.301,94.752,64.263,,,
388,05/04/17,17:35:00,66.344,94.731,64.301,,,
389,05/04/17,17:40:00,66.429,94.691,64.375,,,
390,05/04/17,17:45:00,66.515,94.598,64.436,,,
391,05/04/17,17:50:00,66.558,94.604,64.481,,,
392,05/04/17,17:55:00,66.472,94.750,64.434,,,
393,05/04/17,18:00:00,66.429,94.823,64.411,,,
394,05/04/17,18:05:00,66.429,94.664,64.368,,,
395,05/04/17,18:10:00,66.429,94.638,64.362,,,
396,05/04/17,18:15:00,66.344,94.652,64.279,,,
397,05/04/17,18:20:00,66.344,94.573,64.258,,,
398,05/04/17,18:25:00,66.344,94.309,64.188,,,
399,05/04/17,18:30:00,66.344,94.204,64.161,,,
400,05/04/17,18:35:00,66.258,94.191,64.072,,,
401,05/04/17,18:40:00,66.130,94.332,63.981,,,
402,05/04/17,18:45:00,66.087,94.431,63.964,,,
403,05/04/17,18:50:00,66.000,94.472,63.891,,,
404,05/04/17,18:55:00,65.916,94.512,63.815,,,
405,05/04/17,19:00:00,65.788,94.652,63.723,,,
406,05/04/17,19:05:00,65.701,94.745,63.664,,,
407,05/04/17,19:10:00,65.658,94.817,63.640,,,
